id, followers_count, following_count, tweet_count
764036,122309,8122,257563
778189,1571,251,47988
1357911,73695,6080,143129
2015611,512,504,14146
2043051,866,745,64364
2195431,1507,489,13736
2591131,101,229,36528
2652911,3244,4995,282831
4556241,33717,3394,58481
4617621,315,917,18498
5608142,178,54,11398
5639542,1710,550,44988
5707622,11596,781,53828
5796812,792,556,75083
5835972,6714,2917,126541
6507112,3336,3008,9500
6859342,23233,1889,1707
7008842,23902,626,102956
7261072,3161,4049,153482
7528252,39,128,18103
7591092,578,1729,14918
7689742,5973,2766,13954
7699802,1097,1586,59337
8105922,3285297,286,478481
8255352,1053,1521,158710
8545122,519070,5732,229362
8566512,28193,1420,20007
8607002,11646,2911,11603
8775132,150599,1485,63799
8792072,337,1344,3808
8798292,1319,1298,39572
8952422,19799,2520,25718
8973802,34370,38,63414
9096792,262,1087,25719
9321302,283,298,31475
9365072,2610,413,136477
9706822,480160,220,279403
9732212,12152,5852,172989
9855372,1042,2746,64024
10052072,29252,2846,23010
10466072,95914,7697,79534
10495002,261,496,8018
10668832,70392,2704,346392
10686152,3044,2769,24411
10811802,30,169,266
11444692,3710,1030,3343
11631412,2017,2132,11660
11816412,89874,297,113536
11943472,452,526,6418
13594072,2580,759,88497
13757392,581,1065,18973
14095100,22132,1722,93870
14126802,73,368,6630
14163223,934,569,20247
14165570,797,488,72426
14203593,1708,333,298362
14252903,1356,1843,39919
14255616,774,2289,9614
14334965,844,1103,29642
14336160,3087,703,162773
14337095,326,741,9255
14427119,3189,2401,123924
14451154,2058,1170,23042
14495790,88145,1400,462008
14517201,2875,1857,99594
14580427,510,323,40975
14640634,33,168,3880
14682781,10443,3153,76783
14739707,460,518,38709
14760582,37,442,6517
14768048,17271,494,11535
14779015,174,403,10096
14796022,1613,1164,43822
14889282,74413,2023,30190
15035652,1127,2103,62005
15130414,2464,2955,110076
15165523,1753,2881,33259
15384730,887,1366,25526
15409568,77,355,843
15625229,4493,4999,149968
15655153,422,1219,54265
15705359,7633,1120,179289
15737712,307049,6264,42429
15771422,188,772,37812
15805049,3212,2121,50295
16134007,1802,1786,13855
16294264,816428,3371,307289
16465385,866602,501,11923
16593537,306,341,9259
16660014,1515,4793,114185
16672021,166650,340,210177
16708796,928,1533,10093
16932870,103,504,6114
16997143,923,3736,118516
17214331,221399,153,53250
17274105,200,1403,11635
17429002,613106,1339,10886
17445257,145047,3266,40427
17468869,1261,1770,22055
17548465,15595,12549,136119
17622716,137,121,3338
17654089,1913,1128,63857
17683410,2381,2485,270809
17706291,97407,397,45928
17862822,386,1873,2539
17942192,16890,308,105192
18032397,11864,7194,169758
18040222,2400,2411,28221
18133945,9264,4491,45619
18143118,259509,427,26822
18375955,27718,17890,285100
18389943,4763,2782,41570
18396822,1593,1589,42510
18476225,343,1580,49755
18497097,81930,4538,194852
18607266,190472,8193,160876
18624511,487,1367,16225
18678351,247,202,18453
18700055,367,335,9522
18760638,251,644,1228
18773672,4435,2865,50035
18783486,1165,1816,8048
18803293,1108,973,8410
18935677,13645,5303,7322
18949156,1350,1235,30652
19003727,717408,46936,72864
19029918,142085,497,11285
19115363,1823,5000,19826
19147182,712,562,33365
19315806,1137,63,22910
19373236,1378,2337,44650
19375314,247693,1351,53083
19398656,826,960,95351
19625528,479,1258,41655
20022204,2248,2830,151155
20024751,1117,1660,359592
20094899,99,328,24171
20472315,8689,2282,164216
20519630,200,477,3030
20561847,266,1169,15686
20593091,108,346,13045
20594284,100024,520,154952
20770516,428,817,6145
20807337,3081,2253,38275
20816312,177911,770,203632
20856420,145756,11331,56918
20945701,1425,1332,50885
20967948,2401,2507,57165
21013930,2936,2539,25659
21122604,1981,4990,85884
21154680,120,436,7676
21230797,2035,976,630437
21316101,780,1028,62620
21395895,2982,350,52895
21445435,2294,4998,9451
21813672,225,452,948
21965162,5331,888,240606
22010874,1021,1338,4069
22252644,778,872,5833
22307080,114,209,7597
22635635,375,999,64300
